group,artifact,version,catalog_key
io.ktor,ktor-client-core,2.3.12,ktor-client-core
io.ktor,ktor-client-android,2.3.12,ktor-client-android
io.ktor,ktor-client-okhttp,2.3.12,ktor-client-okhttp
io.ktor,ktor-server-core,2.3.12,ktor-server-core
io.ktor,ktor-server-netty,2.3.12,ktor-server-netty
io.ktor,ktor-server-websockets,2.3.12,ktor-server-websockets
io.ktor,ktor-server-content-negotiation,2.3.12,ktor-server-content-negotiation
io.ktor,ktor-client-darwin,2.3.12,ktor-client-darwin
io.ktor,ktor-client-java,2.3.12,ktor-client-java
io.ktor,ktor-client-content-negotiation,2.3.12,ktor-client-content-negotiation
io.ktor,ktor-serialization-kotlinx-json,2.3.12,ktor-serialization-kotlinx-json
io.ktor,ktor-serialization-kotlinx-xml,2.3.12,ktor-serialization-kotlinx-xml
io.ktor,ktor-client-logging,2.3.12,ktor-client-logging
io.ktor,ktor-client-websockets,2.3.12,ktor-client-websockets
org.jetbrains.kotlinx,kotlinx-coroutines-core,1.8.1,kotlinx-coroutines-core
org.jetbrains.kotlinx,kotlinx-coroutines-test,1.8.1,kotlinx-coroutines-test
org.jetbrains.kotlinx,kotlinx-coroutines-reactive,1.8.1,kotlinx-coroutines-reactive
org.jetbrains.kotlinx,kotlinx-serialization-json,1.7.0,kotlinx-serialization-json
org.jetbrains.kotlinx,kotlinx-datetime,0.6.0,kotlinx-datetime
app.cash.sqldelight,runtime,2.0.0,sqldelight-runtime
app.cash.sqldelight,android-driver,2.0.0,sqldelight-android-driver
app.cash.sqldelight,native-driver,2.0.0,sqldelight-native-driver
app.cash.sqldelight,sqlite-driver,2.0.0,sqldelight-sqlite-driver
app.cash.sqldelight,async-extensions,2.0.0,sqldelight-async-extensions
io.github.microutils,kotlin-logging,3.0.5,kotlin-logging
androidx.core,core-ktx,1.12.0,androidx-core-ktx
androidx.lifecycle,lifecycle-runtime-ktx,2.6.2,androidx-lifecycle-runtime-ktx
androidx.security,security-crypto,1.1.0-alpha06,androidx-security-crypto
org.bouncycastle,bcprov-jdk18on,1.78.1,bouncycastle-provider
org.bouncycastle,bcpkix-jdk18on,1.78.1,bouncycastle-pkix
io.mockk,mockk,1.13.8,mockk
app.cash.turbine,turbine,1.0.0,turbine
androidx.work,work-runtime-ktx,2.9.0,androidx-work-runtime-ktx
io.insert-koin,koin-core,3.5.3,koin-core
io.insert-koin,koin-test,3.5.3,koin-test
org.opencv,opencv-android,4.8.0,opencv-android
org.tensorflow,tensorflow-lite,2.14.0,tensorflow-lite
org.tensorflow,tensorflow-lite-gpu,2.14.0,tensorflow-lite-gpu
org.tensorflow,tensorflow-lite-support,0.4.4,tensorflow-lite-support
